product_category_name,total_orders,total_revenue,avg_rating
cama_mesa_banho,9272,1692714.28,3.92
beleza_saude,8647,1620684.04,4.19
informatica_acessorios,6529,1549252.47,3.99
moveis_decoracao,6307,1394466.93,3.95
relogios_presentes,5493,1387046.31,4.07
esporte_lazer,7529,1349252.93,4.17
utilidades_domesticas,5743,1069787.97,4.11
automotivo,3809,833610.84,4.12
ferramentas_jardim,3448,810614.93,4.08
cool_stuff,3559,744649.32,4.19
moveis_escritorio,1254,636124.88,3.51
brinquedos,3803,603359.7,4.21
bebes,2809,525553.22,4.08
perfumaria,3086,496263.6,4.22
telefonia,4093,469890.57,3.99
papelaria,2264,308674.31,4.25
pet_shop,1688,307716.36,4.22
pcs,177,274671.88,4.22
eletronicos,2517,245869.53,4.07
construcao_ferramentas_construcao,736,237873.48,4.09
