customer_city,customer_state,unique_customers,total_orders,total_revenue
SAO PAULO,SP,14528,15045,2755947.68
RIO DE JANEIRO,RJ,6361,6601,1520550.72
BELO HORIZONTE,MG,2606,2697,489662.49
BRASILIA,DF,2013,2071,419250.56
CURITIBA,PR,1434,1489,322336.65
PORTO ALEGRE,RS,1291,1341,295622.05
SALVADOR,BA,1154,1188,279269.98
CAMPINAS,SP,1363,1406,262276.44
GUARULHOS,SP,1110,1143,199200.0
GOIANIA,GO,641,660,194628.01
NITEROI,RJ,788,825,172437.54
SANTOS,SP,680,700,150159.2
SAO BERNARDO DO CAMPO,SP,881,911,147467.25
FORTALEZA,CE,609,618,144414.29
RECIFE,PE,571,593,124060.0
FLORIANOPOLIS,SC,535,556,121935.25
JUNDIAI,SP,532,549,120814.15
SANTO ANDRE,SP,750,777,118816.44
OSASCO,SP,697,724,117593.73
BELEM,PA,418,428,109240.37
