seller_id,seller_seller_city,seller_seller_state,total_orders,total_revenue,avg_rating
7c67e1448b00f6e969d365cea6b010ab,ITAQUAQUECETUBA,SP,973,505437.16,3.35
1025f0e2d44d7041d6cf58b6550e0bfa,SAO PAULO,SP,910,306000.35,3.87
4a3ca9315b744ce9f8e9374361493884,IBITINGA,SP,1772,295830.76,3.83
1f50f920176fa81dab994f9023523100,SAO JOSE DO RIO PRETO,SP,1399,289861.38,3.99
53243585a1d6dc2643021fd1853d8905,LAURO DE FREITAS,BA,348,279843.42,4.13
da8622b14eb17ae2831f4ac5b9dab84a,PIRACICABA,SP,1311,271733.78,4.07
4869f7a5dfa277a7dca6462dcf3b52b2,GUARIBA,SP,1124,261532.48,4.14
955fee9216a65b617aa5c0531780ce60,SAO PAULO,SP,1261,232136.06,4.09
fa1c13f2614d7b5c4749cbc52fecda94,SUMARE,SP,578,203262.0,4.37
6560211a19b47992c3666cc44a7e94c0,SAO PAULO,SP,1819,176097.1,3.95
7e93a43ef30c4f03f38b393420bc753a,BARUERI,SP,319,174053.79,4.36
7a67c85e85bb2ce8582c35f2203ad736,SAO PAULO,SP,1145,166501.58,4.27
25c5c91f63607446a97b143d2d535d31,ITAUNA,MG,156,159673.13,3.73
a1043bafd471dff536d0c462352beb48,ILICINEA,MG,702,150330.84,4.25
b37c4c02bda3161a7546a4e6d222d5b2,SAO PAULO,SP,4,145319.04,1.4
46dc3b2cc0980fb8ec44634e21d2718e,RIO DE JANEIRO,RJ,503,142785.95,4.26
620c87c171fb2a6dd6e8bb4dec959fc6,PETROPOLIS,RJ,722,142329.44,4.27
cc419e0650a3c5ba77189a1882b7556a,SANTO ANDRE,SP,1651,137132.7,4.14
5dceca129747e92ff8ef7a997dc4f8ca,SANTA BARBARA D´OESTE,SP,322,131860.42,4.02
3d871de0142ce09b7081e2b9d1733cb1,CAMPO LIMPO PAULISTA,SP,1064,130150.09,4.15
